Order #,Supplier,Date Added,Invoice Number,Metal Type,Qty,Weight,Price
52592,,17/07/2024,0,14KT,1,3.71 g.,
52594,,17/07/2024,0,Platinum,1,6.47 g.,
52595,,17/07/2024,0,14KT,1,5.7 g.,
52595,,17/07/2024,0,14KT,1,5.6 g.,
52597,,17/07/2024,0,14KT,1,4.28 g.,
52602,,17/07/2024,0,14KT,1,4.58 g.,
52603,,17/07/2024,0,14KT,1,6.14 g.,
52604,,17/07/2024,0,14KT,1,5.24 g.,
52605,,17/07/2024,0,18KT,1,2.73 g.,
52606,,17/07/2024,0,18KT,1,9.53 g.,
52609,,17/07/2024,0,14KT,1,3.33 g.,
52610,,17/07/2024,0,14KT,1,2.47 g.,
52569,,17/07/2024,0,14KT,1,3.44 g.,
52600,,17/07/2024,0,14KT,1,2.71 g.,
52611,,17/07/2024,0,14KT,1,3.7 g.,
52612,,17/07/2024,0,14KT,1,3.91 g.,
52613,,17/07/2024,0,14KT,1,7.56 g.,
52615,,17/07/2024,0,14KT,2,2.6 g.,
52618,,17/07/2024,0,18KT,1,4.31 g.,
52617,,17/07/2024,0,14KT,1,2.98 g.,
52619,,17/07/2024,0,14KT,1,4.0 g.,
51734,,17/07/2024,0,14KT,1,3.04 g.,
52509,,17/07/2024,0,18KT,1,4.04 g.,
52620,,17/07/2024,0,14KT,1,3.85 g.,
52621,,17/07/2024,0,14KT,1,6.55 g.,
52426,,17/07/2024,0,18KT,1,4.23 g.,
52622,,17/07/2024,0,14KT,1,3.07 g.,
52625,,17/07/2024,0,14KT,1,8.09 g.,
52626,,17/07/2024,0,14KT,1,7.6 g.,
52626,,17/07/2024,0,14KT,1,8.95 g.,
52627,,17/07/2024,0,14KT,1,4.31 g.,
52628,,17/07/2024,0,18KT,1,2.62 g.,
52629,,17/07/2024,0,18KT,1,9.23 g.,
52630,,17/07/2024,0,18KT,1,3.45 g.,
52632,,17/07/2024,0,14KT,1,8.29 g.,
52634,,17/07/2024,0,14KT,1,3.44 g.,
52635,,17/07/2024,0,18KT,1,8.41 g.,
52636,,17/07/2024,0,18KT,1,2.68 g.,
52637,,17/07/2024,0,14KT,1,8.55 g.,
52639,,17/07/2024,0,14KT,1,4.37 g.,
52641,,17/07/2024,0,14KT,1,4.47 g.,
52642,,17/07/2024,0,14KT,1,3.85 g.,
52643,,17/07/2024,0,14KT,1,5.29 g.,
52644,,17/07/2024,0,14KT,1,8.38 g.,
52645,,17/07/2024,0,14KT,1,3.56 g.,
52631,,17/07/2024,0,18KT,1,6.83 g.,
52586,,17/07/2024,0,14KT,1,2.63 g.,
52631,,17/07/2024,0,18KT,1,6.4 g.,
52646,,17/07/2024,0,14KT,1,4.27 g.,
52647,,17/07/2024,0,18KT,1,7.59 g.,
52649,,17/07/2024,0,14KT,1,3.55 g.,
52651,,17/07/2024,0,14KT,1,4.38 g.,
52653,,17/07/2024,0,14KT,1,4.18 g.,
52655,,17/07/2024,0,14KT,1,3.32 g.,
52656,,17/07/2024,0,18KT,1,4.2 g.,
52646,,17/07/2024,0,14KT,1,5.65 g.,
52657,,17/07/2024,0,14KT,1,2.63 g.,
52658,,17/07/2024,0,14KT,1,2.58 g.,
52659,,17/07/2024,0,14KT,1,2.19 g.,
52633,,17/07/2024,0,18KT,1,3.29 g.,
52660,,17/07/2024,0,14KT,1,8.11 g.,
52661,,17/07/2024,0,18KT,1,4.08 g.,
52662,,17/07/2024,0,14KT,1,5.55 g.,
52663,,17/07/2024,0,18KT,1,4.98 g.,
52666,,17/07/2024,0,14KT,1,5.0 g.,
52667,,17/07/2024,0,14KT,1,3.4 g.,
52669,,17/07/2024,0,18KT,1,1.95 g.,
52673,,17/07/2024,0,14KT,1,2.24 g.,
52674,,17/07/2024,0,14KT,1,3.51 g.,
52676,,17/07/2024,0,18KT,1,3.71 g.,
52677,,17/07/2024,0,14KT,1,2.52 g.,
52679,,17/07/2024,0,14KT,1,7.92 g.,
52684,,17/07/2024,0,14KT,1,7.84 g.,
52685,,17/07/2024,0,14KT,1,3.92 g.,
52686,,17/07/2024,0,14KT,1,2.35 g.,
52687,,17/07/2024,0,14KT,1,8.62 g.,
52688,,17/07/2024,0,18KT,1,3.8 g.,
52690,,17/07/2024,0,14KT,1,7.52 g.,
52691,,17/07/2024,0,14KT,1,5.16 g.,
52694,,17/07/2024,0,14KT,1,4.16 g.,
52695,,17/07/2024,0,14KT,1,4.24 g.,
52697,,17/07/2024,0,14KT,1,4.08 g.,
52699,,17/07/2024,0,14KT,1,6.65 g.,
52702,,17/07/2024,0,14KT,1,2.81 g.,
52705,,17/07/2024,0,14KT,1,7.15 g.,
52706,,17/07/2024,0,14KT,1,4.14 g.,
52707,,17/07/2024,0,14KT,1,8.56 g.,
52708,,17/07/2024,0,14KT,1,5.91 g.,
52689,,17/07/2024,0,14KT,1,5.77 g.,
52709,,17/07/2024,0,14KT,1,9.04 g.,
52710,,17/07/2024,0,14KT,1,1.72 g.,
52711,,17/07/2024,0,Platinum,1,5.23 g.,
52712,,17/07/2024,0,14KT,1,2.98 g.,
52714,,17/07/2024,0,14KT,1,8.25 g.,
52721,,17/07/2024,0,18KT,1,12.52 g.,
52720,,17/07/2024,0,14KT,1,2.4 g.,
52717,,17/07/2024,0,14KT,1,3.75 g.,
52643,,17/07/2024,0,14KT,1,5.21 g.,
52704,,17/07/2024,0,14KT,1,3.62 g.,
52735,,17/07/2024,0,14KT,1,2.25 g.,
52734,,17/07/2024,0,14KT,1,7.49 g.,
52731,,17/07/2024,0,14KT,1,2.9 g.,
52727,,17/07/2024,0,14KT,1,7.63 g.,
52722,,17/07/2024,0,14KT,1,8.08 g.,
52735,,17/07/2024,0,14KT,1,5.18 g.,
52724,,17/07/2024,0,14KT,1,6.77 g.,
52727,,17/07/2024,0,14KT,1,6.28 g.,
52726,,17/07/2024,0,14KT,1,2.97 g.,
52723,,17/07/2024,0,14KT,1,3.22 g.,
52729,,17/07/2024,0,18KT,1,6.0 g.,
52733,,17/07/2024,0,Platinum,1,6.34 g.,
26514,,17/07/2024,0,14KT,1,6.57 g.,
52730,,17/07/2024,0,14KT,1,4.21 g.,
52738,,17/07/2024,0,14KT,1,1.96 g.,
52743,,17/07/2024,0,14KT,1,6.8 g.,
52737,,17/07/2024,0,14KT,1,5.83 g.,
52680,,17/07/2024,0,14KT,1,2.93 g.,
52446,,17/07/2024,0,18KT,1,5.81 g.,
52736,,17/07/2024,0,14KT,1,2.49 g.,
52751,,17/07/2024,0,14KT,1,7.82 g.,
52748,,17/07/2024,0,14KT,1,4.53 g.,
52750,,17/07/2024,0,14KT,1,2.78 g.,
52744,,17/07/2024,0,14KT,1,2.89 g.,
52474,,17/07/2024,0,14KT,1,4.24 g.,
52749,,17/07/2024,0,14KT,1,2.49 g.,
52747,,17/07/2024,0,14KT,1,4.1 g.,
52754,,17/07/2024,0,14KT,1,3.58 g.,
52753,,17/07/2024,0,14KT,1,7.34 g.,
52757,,17/07/2024,0,18KT,1,4.34 g.,
52758,,17/07/2024,0,14KT,1,2.82 g.,
52761,,17/07/2024,0,18KT,1,1.28 g.,
52762,,17/07/2024,0,18KT,1,3.22 g.,
52764,,17/07/2024,0,14KT,1,3.08 g.,
52765,,17/07/2024,0,14KT,1,6.01 g.,
52765,,17/07/2024,0,14KT,1,3.48 g.,
